city,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
pflugerville,78660,30.43063164,-97.66307831,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2012,305000,5,0,5,2,1,3,6011,2601,1.266666667,2.666666667,1063,14,3,4,2
pflugerville,78660,30.40974808,-97.63977051,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2018,256125,1,0,4,1,0,1,7840,1478,1.2,3,1108,14,2,3,1
pflugerville,78660,30.43211174,-97.66165924,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,240000,4,0,0,2,0,0,6098,1678,1.4,2.666666667,1063,14,2,3,1
pflugerville,78660,30.43736839,-97.65686035,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2002,239900,3,0,0,1,0,0,6708,2132,1.133333333,4,1223,14,3,3,2
pflugerville,78660,30.43940353,-97.65803528,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2002,219900,2,0,3,1,0,0,5140,1422,1.166666667,4,1223,14,3,3,2
pflugerville,78660,30.43909645,-97.65795898,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2002,225000,1,0,2,1,1,1,3811,1870,1.166666667,4,1223,14,2,3,2
del valle,78617,30.16070175,-97.63812256,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,194800,1,0,3,2,0,0,5183,1422,1.2,3,1615,14,3,3,2
del valle,78617,30.159338,-97.63335419,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2016,250000,1,0,4,1,0,0,4965,2281,1.2,3,1615,14,3,3,2
del valle,78617,30.15428352,-97.65058136,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2003,200000,1,0,4,1,0,0,6926,1326,1.833333333,3,1615,14,2,3,1
del valle,78617,30.16875839,-97.61647034,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2009,212000,5,0,3,2,0,0,10802,1752,0.566666667,3.333333333,1626,14,2,4,1
austin,78717,30.48640823,-97.79472351,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2014,687850,13,0,4,2,0,0,10672,4564,3.266666667,7.666666667,1259,14,6,5,2
austin,78717,30.49437523,-97.79651642,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2007,409000,4,0,6,3,0,0,9060,3233,1.933333333,8.333333333,1481,16,4,5,2
austin,78717,30.48877525,-97.79489899,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,549900,2,0,4,3,0,0,8494,3494,3.3,7.666666667,1259,14,5,4,2
austin,78747,30.08774757,-97.7052002,1.98,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Mobile / Manufactured,2,2007,350000,6,0,3,2,0,0,107593.2,1216,5.2,3.333333333,1557,14,5,8,1
austin,78725,30.23823738,-97.57833099,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2012,200000,1,0,5,2,0,0,8145,1652,1.966666667,3,1457,13,2,3,1
austin,78744,30.17614555,-97.69814301,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2016,287500,2,0,4,2,0,0,6141,1634,2.9,3.666666667,1532,12,2,3,1
austin,78725,30.24176788,-97.57905579,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2015,196000,1,0,7,1,0,0,5532,1399,1.933333333,3,1457,13,2,3,1
austin,78747,30.0850296,-97.69979095,1.98,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1985,239999,5,0,1,0,0,0,411206.4,1264,5.366666667,3.333333333,1557,14,2,3,1
austin,78726,30.42596436,-97.85840607,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2005,830000,5,0,4,1,1,3,19166.4,3573,2,7,1277,16,5,4,2
austin,78725,30.23158455,-97.59126282,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2000,219990,1,0,4,1,0,1,6229,2035,1.766666667,3,1457,13,3,3,2
austin,78725,30.21509933,-97.63643646,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2009,195000,1,0,4,1,0,0,6751,1304,3.266666667,3,1457,13,2,3,1
austin,78732,30.41598701,-97.90055847,1.98,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Single Family,7,2005,4250000,7,0,7,2,0,0,106286.4,7284,4.1,7,1277,16,7,7,2
austin,78744,30.17544556,-97.69815826,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2016,309999,1,0,7,2,0,0,7100,1907,2.9,3.666666667,1532,12,3,3,2
austin,78725,30.22610283,-97.59052277,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2006,205000,2,0,6,1,0,0,4399,2088,1.9,3,1457,13,3,4,1
austin,78747,30.11837578,-97.70490265,1.98,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2013,300000,4,0,2,0,0,0,43560,2100,4.9,3.666666667,1532,12,3,4,1
