city,zpid,zipcode,garageSpaces,hasAssociation,yearBuilt,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
pflugerville,111373431,78660,2,True,2012,6011.0,2601,3.0,4,2
pflugerville,2084491383,78660,0,True,2018,7840.0,1478,2.0,3,1
pflugerville,120901374,78660,2,True,2013,6098.0,1678,2.0,3,1
pflugerville,60134862,78660,0,True,2002,6708.0,2132,3.0,3,2
pflugerville,60134835,78660,0,True,2002,5140.0,1422,3.0,3,2
pflugerville,60134833,78660,0,True,2002,3811.0,1870,2.0,3,2
del valle,83827468,78617,2,True,2013,5183.0,1422,3.0,3,2
del valle,241930967,78617,0,True,2016,4965.0,2281,3.0,3,2
del valle,64520966,78617,0,True,2003,6926.0,1326,2.0,3,1
del valle,70341946,78617,2,True,2009,10802.0,1752,2.0,4,1
austin,116080992,78717,0,True,2014,10672.0,4564,6.0,5,2
austin,88013985,78717,2,True,2007,9060.0,3233,4.0,5,2
austin,116080981,78717,2,True,2013,8494.0,3494,5.0,4,2
austin,83822421,78747,2,False,2007,107593.2,1216,5.0,8,1
austin,70355990,78725,2,True,2012,8145.0,1652,2.0,3,1
austin,241932966,78744,2,True,2016,6141.0,1634,2.0,3,1
austin,145656987,78725,0,True,2015,5532.0,1399,2.0,3,1
austin,83821490,78747,0,False,1985,411206.4,1264,2.0,3,1
austin,70333915,78726,0,True,2005,19166.4,3573,5.0,4,2
austin,29462467,78725,0,True,2000,6229.0,2035,3.0,3,2
austin,89548387,78725,0,True,2009,6751.0,1304,2.0,3,1
austin,29366912,78732,7,True,2005,106286.4,7284,7.0,7,2
austin,241932964,78744,2,True,2016,7100.0,1907,3.0,3,2
austin,69808963,78725,0,True,2006,4399.0,2088,3.0,4,1
austin,121656950,78747,0,False,2013,43560.0,2100,3.0,4,1
austin,185217474,78717,0,True,2008,6786.0,2134,3.0,3,2
austin,89548844,78725,0,True,2009,7797.0,1420,2.0,3,1
austin,63228462,78725,0,True,2004,5924.0,1194,2.0,3,1
austin,80094409,78732,5,True,2006,68389.2,9591,7.0,5,2
austin,64431038,78747,0,False,1993,1001880.0,2169,3.0,3,2
austin,89547842,78725,0,True,2014,5445.0,1296,2.0,3,1
austin,251030464,78724,1,True,2018,6098.0,2570,3.0,4,2
austin,29376491,78726,0,True,1989,9147.0,3140,3.0,5,2
austin,89550834,78725,0,True,2010,9626.0,1420,2.0,3,1
austin,64674953,78725,2,True,2003,5314.0,1929,2.0,3,1
austin,29461422,78725,0,True,1996,6969.0,1592,3.0,3,2
austin,116080970,78717,0,True,2016,12632.4,3837,5.0,5,2
austin,70333905,78726,0,True,2011,58806.0,3450,4.0,4,1
austin,29557482,78729,6,False,1976,16552.8,1239,2.0,3,1
austin,29461406,78725,0,True,1997,5227.0,1335,2.0,3,1
austin,116080962,78717,0,True,2013,15681.6,3111,3.0,4,1
austin,241932946,78744,0,True,2016,5662.0,1973,3.0,3,2
austin,29351492,78731,0,True,1995,3963.0,1487,2.0,2,1
austin,241932900,78725,0,True,2016,5749.0,1370,2.0,3,1
austin,110538990,78750,0,True,2010,6368.0,2283,3.0,4,2
austin,29372980,78726,0,True,1995,9539.0,3115,3.0,4,2
austin,29370898,78726,2,True,2001,10105.0,3794,4.0,4,2
austin,29358990,78750,0,True,1983,10367.0,2967,3.0,4,2
austin,116080957,78717,0,True,2014,7501.0,3787,4.0,5,2
pflugerville,111373282,78660,2,True,2011,7623.0,2314,3.0,5,1
austin,29375979,78750,0,True,1977,11325.6,2753,3.0,5,1
austin,241932935,78744,0,True,2016,6185.0,2068,3.0,4,2
austin,29370894,78726,0,True,2001,11325.6,3338,4.0,4,2
austin,121658485,78750,2,True,2013,6368.0,2283,3.0,4,2
austin,29375978,78750,0,True,1977,27442.8,2997,3.0,4,1
austin,145654939,78725,0,True,2017,7274.0,1225,2.0,3,1
austin,29351485,78731,0,True,1984,3920.0,1573,2.0,3,1
austin,29392994,78725,0,False,1971,9452.0,1745,2.0,4,1
pflugerville,111371253,78660,0,True,2011,8276.0,1375,2.0,3,1
austin,2088245915,78744,0,True,2017,6969.0,2502,3.0,4,1
austin,29373974,78750,2,True,1972,16988.4,2313,2.0,4,1
austin,241932874,78725,4,True,2016,5706.0,1480,2.0,3,1
austin,145551433,78725,0,True,2015,6194.0,1321,3.0,3,2
austin,29376473,78726,0,True,1989,7230.0,2267,2.0,4,1
austin,29347484,78730,3,True,1996,142441.2,4491,7.0,5,2
austin,116080950,78717,0,True,2014,7187.0,2903,3.0,3,1
austin,83814991,78724,0,True,2009,12196.8,2573,3.0,3,2
austin,116080945,78717,0,True,2014,7710.0,3187,3.0,4,2
austin,63835425,78724,2,True,2004,6229.0,1326,2.0,3,1
austin,70341361,78725,0,True,2005,4312.0,1203,2.0,3,1
austin,89550707,78725,4,True,2010,10000.0,1256,2.0,3,1
pflugerville,114405230,78660,0,True,2011,6011.0,3047,3.0,3,2
austin,29459909,78725,0,True,1988,7274.0,1712,3.0,3,2
austin,29375972,78750,0,True,1975,13503.6,2234,3.0,3,1
austin,29396983,78724,2,True,1980,4835.0,1315,2.0,3,1
austin,145656393,78744,0,True,2016,9626.0,3319,3.0,5,2
austin,116080940,78717,2,True,2013,7230.0,3415,4.0,5,2
austin,29370850,78726,2,True,2001,18295.2,4137,4.0,5,2
austin,29459907,78725,0,True,1987,5880.0,1587,2.0,4,1
austin,2082038175,78725,0,True,2019,5000.0,2643,3.0,4,2
austin,29358997,78750,2,False,1984,8537.0,2576,3.0,3,2
austin,70341359,78725,2,True,2005,4312.0,1203,2.0,3,1
austin,185217435,78717,0,True,2008,10236.0,3257,4.0,5,2
austin,83823977,78724,0,True,2009,6098.0,1659,3.0,3,2
austin,70352470,78732,3,True,2006,19166.4,3486,4.0,4,2
austin,145551402,78725,2,True,2015,6098.0,1321,3.0,3,2
austin,29355980,78730,4,True,1984,55321.2,2100,2.0,3,1
austin,29465172,78725,0,False,1995,14374.8,1500,2.0,3,1
austin,29459899,78725,0,True,1987,6534.0,1411,2.0,3,1
austin,64812856,78725,0,True,2004,4704.0,1892,3.0,3,2
austin,185217434,78717,0,True,2008,9757.0,2192,2.0,3,1
austin,63835398,78724,2,True,2004,10541.0,1268,2.0,3,1
austin,70352461,78732,3,True,2009,20908.8,4867,4.0,4,2
austin,29396970,78724,2,True,1980,6490.0,1306,2.0,3,1
austin,29438718,78753,0,True,1993,6272.0,2398,3.0,4,2
austin,29370839,78726,0,True,2001,8276.0,4274,4.0,4,2
austin,2132333345,78725,0,True,2010,2613.0,1372,3.0,3,1
austin,29358978,78750,2,True,1983,9796.0,2448,2.0,4,2
austin,121658390,78725,0,True,2013,5314.0,1250,3.0,2,2
austin,89028960,78732,0,True,2009,7797.0,3485,4.0,5,2
austin,80093467,78724,0,True,2006,9147.0,1526,2.0,3,1
austin,250180857,78744,0,True,2017,6185.0,2124,2.0,3,1
austin,29372965,78750,0,True,1992,7927.0,2965,3.0,4,2
austin,185217429,78717,2,True,2008,7666.0,3205,4.0,5,2
austin,89551997,78732,0,True,2008,81021.6,5449,5.0,5,2
austin,2089686965,78724,0,True,2018,5837.0,2403,3.0,3,1
austin,29370836,78726,0,True,2001,13068.0,3939,4.0,5,2
austin,29353976,78730,0,True,1998,43560.0,3848,4.0,5,2
austin,29459882,78725,0,True,1987,5183.0,1786,2.0,4,1
austin,2087922352,78744,0,True,2018,6969.0,2289,3.0,3,1
austin,29366834,78732,0,True,1975,16988.4,596,1.0,2,1
austin,70341343,78725,0,True,2005,4486.0,2088,3.0,4,2
austin,70338381,78724,2,True,2005,9234.0,1206,2.0,3,1
austin,29362475,78750,0,True,1988,13939.2,3119,3.0,4,2
austin,64533962,78724,1,True,2003,5793.0,1160,2.0,3,1
austin,29459881,78725,0,True,1987,5357.0,2094,3.0,4,2
austin,89552136,78725,0,True,2010,4748.0,1096,2.0,3,1
austin,29396959,78724,2,True,1980,4617.0,1320,2.0,3,1
austin,89545951,78732,0,True,2012,116305.2,7740,8.0,6,2
austin,29353975,78730,0,True,1999,45302.4,4878,5.0,5,2
austin,29373963,78750,2,False,1972,27007.2,2873,3.0,4,2
austin,79981880,78725,2,True,2014,7535.0,1652,2.0,3,1
austin,96636926,78729,0,True,2012,5837.0,2406,2.0,3,1
austin,83820449,78732,4,True,2006,12196.8,4362,4.0,4,2
austin,29370826,78726,0,True,1989,11325.6,1540,2.0,3,1
austin,29360969,78750,2,True,1990,30927.6,2463,3.0,3,2
austin,29375962,78750,0,True,1995,13503.6,2454,3.0,3,1
austin,243333921,78717,0,True,2016,10890.0,1968,2.0,3,1
austin,145657839,78744,2,True,2015,5488.0,1821,2.0,3,1
austin,29343949,78732,2,False,1986,13068.0,1848,2.0,2,1
austin,69814957,78730,3,True,2007,27007.2,3371,4.0,4,1
austin,29351469,78731,0,True,1983,4181.0,1555,2.0,3,1
austin,29344952,78733,0,True,1994,11761.2,2647,3.0,4,2
austin,145658835,78744,0,True,2015,4399.0,1914,3.0,3,2
austin,70341334,78725,0,True,2005,4356.0,2088,3.0,4,2
austin,29370820,78726,0,True,1991,7840.0,1861,2.0,3,1
austin,29392931,78725,0,False,1971,9757.0,1567,2.0,4,1
austin,79981874,78725,2,True,2012,7927.0,1344,2.0,3,1
austin,29377461,78726,3,True,1983,50529.6,3227,4.0,5,1
austin,29343946,78732,0,False,1982,13068.0,704,1.0,1,1
austin,124154920,78717,0,True,2016,11761.2,3329,5.0,4,2
austin,145658832,78744,0,True,2015,6011.0,2068,3.0,4,2
austin,29370806,78726,0,True,2001,11761.2,3304,4.0,4,2
austin,83816428,78724,0,True,2013,5749.0,1670,2.0,3,1
austin,29343454,78746,2,True,1983,14374.8,2665,3.0,3,1
austin,29360963,78750,0,True,1985,20908.8,2357,2.5,3,1
austin,145658831,78744,2,True,2015,5445.0,1982,3.0,3,2
austin,64918941,78730,4,False,2004,54450.0,5307,5.0,4,3
del valle,246905609,78617,0,False,2017,32670.0,2100,3.0,4,1
austin,90240442,78732,2,True,2009,8232.0,1943,2.0,4,1
austin,120895447,78732,0,True,2012,9626.0,3689,4.0,4,2
austin,29375958,78750,0,True,1972,13068.0,3650,4.0,4,2
austin,29344947,78733,0,True,1990,12196.8,2929,3.0,4,2
austin,90240441,78732,0,True,2010,8276.0,3348,4.0,5,2
austin,89553418,78717,0,True,2009,5662.0,1746,2.0,3,1
austin,29344946,78733,0,True,1994,12196.8,2066,3.0,3,2
austin,70338371,78724,2,True,2005,6534.0,1704,3.0,3,2
austin,185217414,78717,2,True,2008,8276.0,2960,3.0,4,2
austin,29578456,78729,0,True,1997,7000.0,2084,3.0,3,2
austin,89550945,78733,3,True,2009,19166.4,4743,5.0,5,2
austin,29459868,78725,2,True,1987,5140.0,1419,2.0,3,1
austin,29341439,78746,3,True,2000,33976.8,4637,4.0,4,2
austin,83813736,78726,0,False,2006,14810.4,1649,2.0,3,1
austin,64455725,78732,2,True,1995,11761.2,2731,4.0,3,2
austin,124842807,78744,0,True,2015,4399.0,1448,2.0,3,1
austin,83814922,78732,0,True,2007,22651.2,4631,5.0,5,2
austin,111370914,78724,2,True,2014,4617.0,1510,2.0,3,1
austin,29341434,78746,0,True,1998,47044.8,4707,6.0,5,2
austin,29368693,78732,2,False,2002,85377.6,4147,4.0,4,1
austin,79981862,78725,2,True,2012,8799.0,1598,3.0,3,2
austin,29465089,78725,0,False,2000,14810.4,2304,2.0,4,1
austin,58298454,78730,3,True,2000,54885.6,4620,4.0,5,2
austin,70323938,78733,0,True,2006,70567.2,5742,4.0,4,2
austin,29346937,78733,1,True,1965,41817.6,986,1.0,2,2
austin,29360950,78750,0,True,1994,3397.0,2137,2.0,3,2
austin,145656290,78744,0,True,2016,6272.0,2073,3.0,3,2
austin,29341421,78746,3,True,1990,23086.8,4142,4.0,4,2
austin,29375949,78750,0,True,1972,12196.8,2581,2.0,4,1
austin,145655859,78725,0,True,2016,7230.0,1405,2.0,3,1
austin,29344936,78733,0,True,1994,13503.6,2648,3.0,4,2
austin,29353950,78730,0,False,1999,25264.8,3958,4.0,4,2
pflugerville,249912949,78660,3,True,2019,7461.0,2814,3.0,4,2
austin,89651406,78717,0,True,2009,5662.0,1730,3.0,3,2
austin,2089992289,78744,0,True,2018,5967.0,2177,3.0,4,2
austin,89551588,78725,2,True,2013,5227.0,1452,2.0,3,1
austin,80103408,78724,4,True,2008,9147.0,1762,2.0,4,1
austin,83828934,78735,0,True,2007,11325.6,3436,3.0,4,2
pflugerville,241936636,78660,2,True,2017,6211.0,1582,2.0,3,1
austin,58265948,78750,2,True,2002,10149.0,3254,3.0,5,1
austin,58297915,78746,0,True,1999,31363.2,5576,7.0,5,2
austin,89548573,78725,1,True,2009,6141.0,1776,3.0,5,2
austin,83123896,78732,3,True,2007,12632.4,4952,4.0,4,2
austin,29355947,78731,0,True,1962,16117.2,1707,2.0,3,1
austin,29368658,78732,0,True,1987,40946.4,2667,3.0,3,2
austin,29341415,78746,0,True,1999,42253.2,5234,5.0,5,3
austin,58265946,78750,0,True,2002,9365.0,3282,3.0,4,2
austin,241938280,78744,2,True,2016,8494.0,2275,3.0,4,1
austin,29396905,78724,2,True,1980,5357.0,1320,2.0,3,1
pflugerville,241936634,78660,0,True,2016,12196.8,1745,2.0,3,1
austin,80093390,78732,3,True,2012,13503.6,4219,6.0,4,2
austin,29343408,78746,2,True,1984,11325.6,3693,4.0,4,2
austin,63835353,78724,0,True,2003,5749.0,1650,2.0,3,1
austin,29396904,78724,2,True,1980,5575.0,939,1.0,2,1
austin,29351445,78731,0,True,1985,3911.0,2474,3.0,3,2
austin,29370446,78750,0,True,1984,13503.6,2567,4.0,4,2
austin,70352485,78732,0,True,2007,15681.6,4060,5.0,4,2
austin,29344931,78733,2,True,1985,32234.4,4919,5.0,4,2
austin,29459853,78725,2,True,1987,5357.0,1419,2.0,3,1
austin,89663390,78717,4,True,2008,6229.0,2234,3.0,3,2
