city,zpid,zipcode,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms
pflugerville,111373431,78660,6011.0,2601,3.0,4
pflugerville,2084491383,78660,7840.0,1478,2.0,3
pflugerville,120901374,78660,6098.0,1678,2.0,3
pflugerville,60134862,78660,6708.0,2132,3.0,3
pflugerville,60134835,78660,5140.0,1422,3.0,3
pflugerville,60134833,78660,3811.0,1870,2.0,3
del valle,83827468,78617,5183.0,1422,3.0,3
del valle,241930967,78617,4965.0,2281,3.0,3
del valle,64520966,78617,6926.0,1326,2.0,3
del valle,70341946,78617,10802.0,1752,2.0,4
austin,116080992,78717,10672.0,4564,6.0,5
austin,88013985,78717,9060.0,3233,4.0,5
austin,116080981,78717,8494.0,3494,5.0,4
austin,83822421,78747,107593.2,1216,5.0,8
austin,70355990,78725,8145.0,1652,2.0,3
austin,241932966,78744,6141.0,1634,2.0,3
austin,145656987,78725,5532.0,1399,2.0,3
austin,83821490,78747,411206.4,1264,2.0,3
austin,70333915,78726,19166.4,3573,5.0,4
austin,29462467,78725,6229.0,2035,3.0,3
austin,89548387,78725,6751.0,1304,2.0,3
austin,29366912,78732,106286.4,7284,7.0,7
austin,241932964,78744,7100.0,1907,3.0,3
austin,69808963,78725,4399.0,2088,3.0,4
austin,121656950,78747,43560.0,2100,3.0,4
austin,185217474,78717,6786.0,2134,3.0,3
austin,89548844,78725,7797.0,1420,2.0,3
austin,63228462,78725,5924.0,1194,2.0,3
austin,80094409,78732,68389.2,9591,7.0,5
austin,64431038,78747,1001880.0,2169,3.0,3
austin,89547842,78725,5445.0,1296,2.0,3
austin,251030464,78724,6098.0,2570,3.0,4
austin,29376491,78726,9147.0,3140,3.0,5
austin,89550834,78725,9626.0,1420,2.0,3
austin,64674953,78725,5314.0,1929,2.0,3
austin,29461422,78725,6969.0,1592,3.0,3
austin,116080970,78717,12632.4,3837,5.0,5
austin,70333905,78726,58806.0,3450,4.0,4
austin,29557482,78729,16552.8,1239,2.0,3
austin,29461406,78725,5227.0,1335,2.0,3
austin,116080962,78717,15681.6,3111,3.0,4
austin,241932946,78744,5662.0,1973,3.0,3
austin,29351492,78731,3963.0,1487,2.0,2
austin,241932900,78725,5749.0,1370,2.0,3
austin,110538990,78750,6368.0,2283,3.0,4
austin,29372980,78726,9539.0,3115,3.0,4
austin,29370898,78726,10105.0,3794,4.0,4
austin,29358990,78750,10367.0,2967,3.0,4
austin,116080957,78717,7501.0,3787,4.0,5
pflugerville,111373282,78660,7623.0,2314,3.0,5
austin,29375979,78750,11325.6,2753,3.0,5
austin,241932935,78744,6185.0,2068,3.0,4
austin,29370894,78726,11325.6,3338,4.0,4
austin,121658485,78750,6368.0,2283,3.0,4
austin,29375978,78750,27442.8,2997,3.0,4
austin,145654939,78725,7274.0,1225,2.0,3
austin,29351485,78731,3920.0,1573,2.0,3
austin,29392994,78725,9452.0,1745,2.0,4
pflugerville,111371253,78660,8276.0,1375,2.0,3
austin,2088245915,78744,6969.0,2502,3.0,4
austin,29373974,78750,16988.4,2313,2.0,4
austin,241932874,78725,5706.0,1480,2.0,3
austin,145551433,78725,6194.0,1321,3.0,3
austin,29376473,78726,7230.0,2267,2.0,4
austin,29347484,78730,142441.2,4491,7.0,5
austin,116080950,78717,7187.0,2903,3.0,3
austin,83814991,78724,12196.8,2573,3.0,3
austin,116080945,78717,7710.0,3187,3.0,4
austin,63835425,78724,6229.0,1326,2.0,3
austin,70341361,78725,4312.0,1203,2.0,3
austin,89550707,78725,10000.0,1256,2.0,3
pflugerville,114405230,78660,6011.0,3047,3.0,3
austin,29459909,78725,7274.0,1712,3.0,3
austin,29375972,78750,13503.6,2234,3.0,3
austin,29396983,78724,4835.0,1315,2.0,3
austin,145656393,78744,9626.0,3319,3.0,5
austin,116080940,78717,7230.0,3415,4.0,5
austin,29370850,78726,18295.2,4137,4.0,5
austin,29459907,78725,5880.0,1587,2.0,4
austin,2082038175,78725,5000.0,2643,3.0,4
austin,29358997,78750,8537.0,2576,3.0,3
austin,70341359,78725,4312.0,1203,2.0,3
austin,185217435,78717,10236.0,3257,4.0,5
austin,83823977,78724,6098.0,1659,3.0,3
austin,70352470,78732,19166.4,3486,4.0,4
austin,145551402,78725,6098.0,1321,3.0,3
austin,29355980,78730,55321.2,2100,2.0,3
austin,29465172,78725,14374.8,1500,2.0,3
austin,29459899,78725,6534.0,1411,2.0,3
austin,64812856,78725,4704.0,1892,3.0,3
austin,185217434,78717,9757.0,2192,2.0,3
austin,63835398,78724,10541.0,1268,2.0,3
austin,70352461,78732,20908.8,4867,4.0,4
austin,29396970,78724,6490.0,1306,2.0,3
austin,29438718,78753,6272.0,2398,3.0,4
austin,29370839,78726,8276.0,4274,4.0,4
austin,2132333345,78725,2613.0,1372,3.0,3
austin,29358978,78750,9796.0,2448,2.0,4
