zpid,city,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_salemonth,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms
111373431,pflugerville,78660,30.43063164,-97.66307831,2012,305000,9,6011,2601,2.666666667,3,4
2084491383,pflugerville,78660,30.40974808,-97.63977051,2018,256125,7,7840,1478,3,2,3
120901374,pflugerville,78660,30.43211174,-97.66165924,2013,240000,8,6098,1678,2.666666667,2,3
60134862,pflugerville,78660,30.43736839,-97.65686035,2002,239900,10,6708,2132,4,3,3
60134835,pflugerville,78660,30.43940353,-97.65803528,2002,219900,10,5140,1422,4,3,3
60134833,pflugerville,78660,30.43909645,-97.65795898,2002,225000,9,3811,1870,4,2,3
83827468,del valle,78617,30.16070175,-97.63812256,2013,194800,9,5183,1422,3,3,3
241930967,del valle,78617,30.159338,-97.63335419,2016,250000,4,4965,2281,3,3,3
64520966,del valle,78617,30.15428352,-97.65058136,2003,200000,12,6926,1326,3,2,3
70341946,del valle,78617,30.16875839,-97.61647034,2009,212000,2,10802,1752,3.333333333,2,4
116080992,austin,78717,30.48640823,-97.79472351,2014,687850,8,10672,4564,7.666666667,6,5
88013985,austin,78717,30.49437523,-97.79651642,2007,409000,12,9060,3233,8.333333333,4,5
116080981,austin,78717,30.48877525,-97.79489899,2013,549900,3,8494,3494,7.666666667,5,4
83822421,austin,78747,30.08774757,-97.7052002,2007,350000,3,107593.2,1216,3.333333333,5,8
70355990,austin,78725,30.23823738,-97.57833099,2012,200000,1,8145,1652,3,2,3
241932966,austin,78744,30.17614555,-97.69814301,2016,287500,4,6141,1634,3.666666667,2,3
145656987,austin,78725,30.24176788,-97.57905579,2015,196000,1,5532,1399,3,2,3
83821490,austin,78747,30.0850296,-97.69979095,1985,239999,8,411206.4,1264,3.333333333,2,3
70333915,austin,78726,30.42596436,-97.85840607,2005,830000,9,19166.4,3573,7,5,4
29462467,austin,78725,30.23158455,-97.59126282,2000,219990,6,6229,2035,3,3,3
89548387,austin,78725,30.21509933,-97.63643646,2009,195000,3,6751,1304,3,2,3
29366912,austin,78732,30.41598701,-97.90055847,2005,4250000,8,106286.4,7284,7,7,7
241932964,austin,78744,30.17544556,-97.69815826,2016,309999,3,7100,1907,3.666666667,3,3
69808963,austin,78725,30.22610283,-97.59052277,2006,205000,1,4399,2088,3,3,4
121656950,austin,78747,30.11837578,-97.70490265,2013,300000,11,43560,2100,3.666666667,3,4
185217474,austin,78717,30.49414444,-97.79753113,2008,344600,9,6786,2134,8.333333333,3,3
89548844,austin,78725,30.2131176,-97.63728333,2009,186500,2,7797,1420,3,2,3
63228462,austin,78725,30.22929382,-97.59007263,2004,179900,3,5924,1194,3,2,3
80094409,austin,78732,30.41860008,-97.89057159,2006,2950000,10,68389.2,9591,7,7,5
64431038,austin,78747,30.11583138,-97.71607208,1993,565000,8,1001880,2169,3.333333333,3,3
89547842,austin,78725,30.21501923,-97.63804626,2014,194098,3,5445,1296,3,2,3
251030464,austin,78724,30.25937271,-97.58674622,2018,255700,4,6098,2570,2.666666667,3,4
29376491,austin,78726,30.44238663,-97.82499695,1989,495000,6,9147,3140,8,3,5
89550834,austin,78725,30.21296501,-97.63726807,2010,225000,2,9626,1420,3,2,3
64674953,austin,78725,30.24004555,-97.58735657,2003,207900,7,5314,1929,3,2,3
29461422,austin,78725,30.23721313,-97.5835495,1996,200000,9,6969,1592,3,3,3
116080970,austin,78717,30.48861694,-97.79280853,2016,675000,7,12632.4,3837,7.666666667,5,5
70333905,austin,78726,30.42463112,-97.8576889,2011,975000,1,58806,3450,7,4,4
29557482,austin,78729,30.45297623,-97.78694916,1976,259000,1,16552.8,1239,5.333333333,2,3
29461406,austin,78725,30.23699188,-97.58533478,1997,199999,8,5227,1335,3,2,3
116080962,austin,78717,30.48804855,-97.79401398,2013,625000,7,15681.6,3111,7.666666667,3,4
241932946,austin,78744,30.17620659,-97.6965332,2016,285000,12,5662,1973,3.666666667,3,3
29351492,austin,78731,30.35284042,-97.79354858,1995,399900,1,3963,1487,7,2,2
241932900,austin,78725,30.23677063,-97.58175659,2016,215000,8,5749,1370,3,2,3
